speech;63;
keeps;63;
morning;63;
endure;63;
precious;63;
murder;63;
grows;63;
look'd;63;
souls;63;
defend;63;
england's;63;353
called;62;
laugh;62;
uncle,;62;
know'st;62;
good.;62;
'twill;62;
along;62;
sharp;62;
quick;62;
order;62;
hair;62;
this:;62;
deeds;62;
queen.;62;
sudden;62;
news?;62;
hold,;62;
man!;62;
subject;62;
humour;62;
still,;61;
blow;61;
always;61;
least;61;
knave;61;
i'd;61;
together,;61;
lordship;61;
forth,;61;
lady.;61;
fire,;61;
pure;61;
sport;61;1
presence;61;
leave,;61;
may,;61;
sometime;61;
children;61;1
roman;61;
lips;61;
back,;61;
trouble;61;
fat;61;
dull;61;
seven;61;
we,;60;
love's;60;
blood.;60;
arms,;60;
speed;60;
becomes;60;
himself.;60;
burn;60;
tear;60;35
crown,;60;
harry;60;
child,;59;
none,;59;
majesty,;59;
of.;59;
th';59;
spend;59;
banish'd;59;
dream;59;
lord:;59;
nothing.;59;
fain;59;
france.;59;
manner;59;
land,;59;
glory;59;
fools;59;
taste;59;
conscience;59;
warwick;59;
fill;58;9
danger;58;
woo;58;
hearing;58;
humbly;58;
master's;58;
dreadful;58;6
words.;58;
proper;58;
down.;58;
rough;58;1
am,;58;
tale;58;
rage;58;
due;58;
mere;57;
friend.;57;
matter,;57;
honours;57;
wait;57;
live.;57;
'em;57;
grace.;57;
both,;57;
wretched;57;6
did,;57;
company.;57;
beyond;57;
mayst;56;
were,;56;
spare;56;
man:;56;
idle;56;
private;56;
news,;56;
rude;56;
turn'd;56;
worst;56;
sister,;56;
embrace;56;
princes;56;
humble;55;
dearest;55;16
you're;55;
her:;55;
enough.;55;
power,;55;
spirit,;55;
led;55;
bids;55;
peace.;55;
soft;55;
offence;55;
cunning;55;1
sovereign;55;
borne;55;
green;55;
catch;55;
worship;55;
visit;55;
fashion;55;
reverend;55;
able;54;
anything;54;
valour;54;
to-day;54;
case;54;
wicked;54;
before,;54;
son.;54;
yourself,;54;
judgment;54;
help,;54;
much.;54;
mouth;54;
enough,;54;
won;54;
welcome.;54;
lady's;54;31
kings;54;
occasion;54;
alone.;54;
enter;54;
drawn;54;
consent;54;42
weary;54;
form;54;
stand,;54;
hector;54;
king?;54;
forgot;53;
lion;53;
soldier;53;
shut;53;
hand:;53;
low;53;
betwixt;53;
seal;53;
simple;53;
blame;53;
fly,;53;
end,;53;
heavenly;53;
eyes.;53;
feast;53;
noise;53;
thrice;53;
deal;53;
air,;53;
dog;53;
guard;53;
hour,;53;
large;53;
angry;53;
cruel;53;
sweet,;53;
name.;53;
prayers;52;
war-like;52;
pride;52;
six;52;
marriage;52;
hither.;52;
herself;52;
servant;52;62
traitor;52;
together.;52;144
yonder;52;
court,;52;
faults;52;
name?;52;
gold,;52;
to-night;52;17
owe;52;
former;52;
grown;52;
secret;52;
patience,;52;
prepare;52;
gloucester,;52;
too:;51;
heads;51;
sun,;51;
them:;51;
maid,;51;1
doing;51;
much,;51;
poison;51;
wanton;51;
sometimes;51;
mean,;51;
army;51;
where,;51;
labour;51;
face.;51;
natural;51;
her!;51;
pleas'd;51;8
battle;51;
round;51;
moon;51;
woe;51;
people,;51;
right,;51;
masters,;51;
knowledge;50;
love?;50;
deserve;50;
do?;50;
bade;50;
health;50;
fear.;50;
they'll;50;11
slave,;50;
obey;50;
durst;50;
dark;50;
single;50;
thoughts,;50;
comes.;50;
lawful;50;7
end.;50;
leaves;50;265
short;50;
slain;50;
as,;50;
claim;50;11
to-night.;50;
light,;50;
richard,;50;
desperate;49;
join;49;
are.;49;
them?;49;
sooner;49;
none.;49;
monstrous;49;
know.;49;
once,;49;
horse,;49;
easy;49;
wrong,;49;
malice;49;
excuse;49;
how!;49;
swift;49;
treason;49;
it!;49;
wit,;49;
hell;49;
thrust;48;
brings;48;
jest;48;
knight;48;
justice,;48;80
old,;48;
assure;48;
colour;48;4
view;48;
by,;48;
show'd;48;
place.;48;
book;48;
fie!;48;
an't;48;
few;48;
edward's;48;
itself,;47;
majesty.;47;
yours.;47;
cause,;47;16
she'll;47;
vow;47;
breathe;47;
indeed.;47;
broken;47;
wealth;47;
smile;47;
go:;47;
desires;47;
home.;47;
king!;47;
thither;47;3
wash;47;
guilty;47;
begins;47;
fled;47;
christian;47;
to-morrow,;47;
sayst;47;
heat;47;
third;47;
villain!;47;
brutus,;47;
blind;47;
hit;47;
town;47;
sons,;47;
cassio;47;
kate,;47;
henry's;47;59
advantage;46;
honesty;46;
yet.;46;
fought;46;
equal;46;
honour.;46;
knave,;46;
both.;46;
fool.;46;
leave.;46;
he.;46;27
gallant;46;
sleep,;46;
art,;46;
knock;46;
offend;46;
alone,;46;
alack!;46;
cross;46;
powers;46;
sacred;46;
highness';46;
what?;46;
clear;46;
quiet;46;
age,;46;
daughter.;46;
shape;46;
god!;46;
vouchsafe;46;
pains;45;
us'd;45;
fond;45;
gross;45;
us?;45;
greatest;45;
match;45;
soldiers;45;
thence;45;
thine,;45;
breath,;45;
duke,;45;
last,;45;
field;45;
greatness;45;
law,;45;
